	CONCEPT_NAME	OMOP_CONCEPT_ID	COUNT_NOT_MISSING	PERCENTAGE_NOT_MISSING	COUNT_MISSING	PERCENTAGE_MISSING	COUNT_TOTAL	PERCENTAGE_TOTAL	COUNT_INDVS_NO_MISSING	COUNT_INDVS_MISSING	COUNT_INDVS_ALL
198	Kappa light chains.free [Mass/volume] in Serum	3034860	105544	0.01378%	5156	0.00067331%	110700	0.01445607%	31869	2176	33100
199	Oxygen saturation in Capillary blood	3021901	105313	0.01375%	1613	0.00021064%	106926	0.01396323%	44282	1394	44716
200	Valproate [Moles/volume] in Serum or Plasma	3009466	105031	0.01372%	1860	0.00024289%	106891	0.01395866%	29987	1335	30359
201	Hepatitis B virus surface Ag [Presence] in Serum	3019284	102530	0.01339%	720348	0.09406866%	822878	0.10745783%	41899	264016	302934
202	Lambda light chains.free [Mass/volume] in Serum or Plasma	3047169	102413	0.01337%	8197	0.00107043%	110610	0.01444432%	30437	3772	33677
203	Cancer Ag 125 [Units/volume] in Serum or Plasma	3037551	102112	0.01333%	2211	0.00028873%	104323	0.01362331%	46644	1564	47485
204	Cancer Ag 19-9 [Units/volume] in Serum or Plasma	3022914	100398	0.01311%	14869	0.00194171%	115267	0.01505246%	42270	8487	47675
205	Coagulation factor X inhibitor [Units/volume] in Platelet poor plasma by Coagulation assay	3020427	99970	0.01305%	27408	0.00357915%	127378	0.01663401%	34727	15877	43493
206	Pregnancy associated plasma protein A [Mass/volume] in Serum or Plasma	3051741	99914	0.01305%	1189	0.00015527%	101103	0.01320282%	79230	1165	79782
207	Kappa light chains/Lambda light chains [Mass Ratio] in Serum	3007778	99147	0.01295%	8093	0.00105685%	107240	0.01400424%	29291	4223	32377
208	Kappa light chains.free/Lambda light chains.free [Mass Ratio] in Serum	3053209	99147	0.01295%	8093	0.00105685%	107240	0.01400424%	29291	4223	32377
209	Ammonium ion [Moles/volume] in Plasma	3023183	97346	0.01271%	5641	0.00073665%	102987	0.01344885%	41388	4473	43985
210	Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay	3016407	95027	0.01241%	3660	0.00047795%	98687	0.01288732%	40981	2287	42038
211	Tacrolimus [Mass/volume] in Blood	3026250	93779	0.01225%	5683	0.00074213%	99462	0.01298852%	3860	1535	3958
212	Vancomycin [Mass/volume] in Serum or Plasma	3005715	93359	0.01219%	9250	0.00120794%	102609	0.01339948%	18022	3646	19162
213	Angiotensin converting enzyme [Enzymatic activity/volume] in Serum or Plasma	3034780	92385	0.01206%	3934	0.00051373%	96319	0.01257809%	53330	2894	55300
214	Ethanol [Moles/volume] in Serum or Plasma	3020191	92104	0.01203%	56169	0.00733499%	148273	0.01936265%	34590	27413	58461
215	HIV 1 and 2 tests - Meaningful Use set	46235355	90489	0.01182%	510427	0.06665554%	600916	0.07847230%	70243	353299	406719
216	cloZAPine [Moles/volume] in Serum or Plasma	3000081	89841	0.01173%	9693	0.00126579%	99534	0.01299793%	10466	1943	10559
217	Coagulation factor VIII activity actual/normal in Platelet poor plasma by Coagulation assay	3019250	86917	0.01135%	3103	0.00040521%	90020	0.01175551%	37706	1751	38190
218	Thrombin time	3036489	86137	0.01125%	7886	0.00102982%	94023	0.01227826%	52281	9796	61038
219	Blasts/100 leukocytes in Blood	3025159	85038	0.01110%	152457	0.01990902%	237495	0.03101395%	31788	56454	83454
220	Bacteria identified in Isolate by Culture	3042936	83035	0.01084%	370651	0.04840250%	453686	0.05924586%	51302	217344	251492
221	Thyroperoxidase Ab [Units/volume] in Serum or Plasma	3027238	82926	0.01083%	52139	0.00680872%	135065	0.01763784%	72153	48432	118232
222	Haptoglobin [Mass/volume] in Serum or Plasma	3012336	82411	0.01076%	3624	0.00047325%	86035	0.01123512%	53263	2651	54781
223	Lutropin [Units/volume] in Serum or Plasma	3009214	80289	0.01048%	6221	0.00081239%	86510	0.01129715%	58891	5114	62058
224	Sex hormone binding globulin [Moles/volume] in Serum or Plasma	3004248	79421	0.01037%	547	0.00007143%	79968	0.01044285%	53554	498	53784
225	Nuclear Ab [Titer] in Serum	3037522	77416	0.01011%	174067	0.02273103%	251483	0.03284061%	61079	151604	210693
226	Digoxin [Moles/volume] in Serum or Plasma	3027456	75556	0.00987%	1447	0.00018896%	77003	0.01005565%	30131	2106	31321
227	Calcium [Moles/time] in 24 hour Urine	3010838	74312	0.00970%	10338	0.00135002%	84650	0.01105426%	22322	3733	23049
228	Bacteria identified in Skin by Aerobe culture	3007853	74209	0.00969%	302548	0.03950908%	376757	0.04919987%	51524	206995	245446
229	ABO and Rh group [Type] in Blood	3003694	70671	0.00923%	629058	0.08214730%	699729	0.09137607%	63301	554263	610882
230	Lysozyme [Mass/volume] in Serum or Plasma	3012110	67597	0.00883%	1508	0.00019693%	69105	0.00902427%	38500	1406	39294
231	Lithium [Moles/volume] in Serum or Plasma	3024666	67268	0.00878%	1687	0.00022030%	68955	0.00900468%	9771	1009	9820
232	Alpha 2 globulin/Protein.total [Pure mass fraction] in Serum or Plasma by Electrophoresis	43055424	66021	0.00862%	2075	0.00027097%	68096	0.00889251%	29393	1577	30317
233	Complement C3 [Mass/volume] in Serum or Plasma	3000620	65601	0.00857%	2317	0.00030257%	67918	0.00886926%	44956	2074	46275
234	Beta 1 globulin/Protein.total in Serum or Plasma by Electrophoresis	3030947	65587	0.00856%	1844	0.00024080%	67431	0.00880567%	28895	1462	29750
235	Beta 1 globulin [Mass/volume] in Serum or Plasma by Electrophoresis	3043723	65587	0.00856%	1844	0.00024080%	67431	0.00880567%	29462	1464	30317
236	Sodium [Moles/volume] in Urine	3003181	64994	0.00849%	14552	0.00190031%	79546	0.01038774%	23757	6021	28101
237	Iron/Transferrin [Ratio] in Serum or Plasma	40763571	64976	0.00849%	4201	0.00054860%	69177	0.00903367%	38649	3534	39923
238	Complement C4 [Mass/volume] in Serum or Plasma	3017766	64948	0.00848%	2330	0.00030427%	67278	0.00878569%	43945	2109	45375
239	Testosterone Free [Moles/volume] in Serum or Plasma	3018301	64538	0.00843%	5900	0.00077047%	70438	0.00919834%	43098	4412	43628
240	Chlamydia trachomatis DNA [Presence] in Urine by NAA with probe detection	3024950	61903	0.00808%	467522	0.06105267%	529425	0.06913645%	47847	293498	341098
241	Treponema pallidum Ab [Presence] in Serum	3019832	61774	0.00807%	469498	0.06131071%	531272	0.06937764%	25942	175368	197471
242	Albumin [Mass/volume] in Serum or Plasma by Electrophoresis	3028286	60512	0.00790%	1793	0.00023414%	62305	0.00813627%	25966	1367	26729
243	Albumin/Protein.total [Pure mass fraction] in Serum or Plasma by Electrophoresis	43055432	60512	0.00790%	1793	0.00023414%	62305	0.00813627%	25966	1367	26729
244	Chlamydia trachomatis DNA [Presence] in Specimen by NAA with probe detection	3006093	60148	0.00785%	267661	0.03495326%	327809	0.04280786%	44291	181282	219363
245	Oxygen content in Capillary blood by calculation	40767503	59895	0.00782%	2135	0.00027880%	62030	0.00810036%	34110	1973	39552
246	Alpha-1-Fetoprotein [Units/volume] in Serum or Plasma	3015916	58419	0.00763%	8139	0.00106285%	66558	0.00869166%	25217	5043	28393
247	Protein.monoclonal band 4 [Mass/volume] in Serum or Plasma by Electrophoresis	3029379	58220	0.00760%	2255	0.00029448%	60475	0.00789730%	24479	1722	25520
248	Protein [Mass/volume] in Cerebral spinal fluid	3019473	58098	0.00759%	2085	0.00027228%	60183	0.00785917%	44846	1859	46013
249	Mycoplasma pneumoniae IgG Ab [Units/volume] in Serum	3018387	55423	0.00724%	27782	0.00362799%	83205	0.01086556%	46354	26116	71811
250	Tissue Pathology biopsy report	40768804	54537	0.00712%	793883	0.10367144%	848420	0.11079330%	46398	545655	620701
251	Cytomegalovirus DNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection	43055120	54550	0.00712%	165682	0.02163605%	220232	0.02875961%	6529	22559	25682
252	Iron saturation [Mass Fraction] in Serum or Plasma	3000185	54435	0.00711%	1786	0.00023323%	56221	0.00734178%	30779	1207	31206
253	Choriogonadotropin.beta subunit free [Mass/volume] in Serum or Plasma	3019145	54298	0.00709%	6229	0.00081343%	60527	0.00790409%	40217	2317	41856
254	Norclozapine [Moles/volume] in Serum or Plasma	3008832	54185	0.00708%	3025	0.00039503%	57210	0.00747093%	6521	1537	6701
255	Cancer Ag 15-3 [Units/volume] in Serum or Plasma	3006588	53327	0.00696%	1346	0.00017577%	54673	0.00713963%	18311	974	18681
256	Testosterone Free [Moles/volume] in Serum or Plasma by calculation	36032269	53326	0.00696%	3739	0.00048827%	57065	0.00745199%	35924	2920	36269
257	IgG subclass 4 [Mass/volume] in Serum	3024980	52472	0.00685%	8142	0.00106325%	60614	0.00791545%	18523	3546	21734
258	Lactate [Moles/volume] in Capillary blood	3028271	48761	0.00637%	1819	0.00023754%	50580	0.00660513%	28589	1699	29337
259	Glucose [Moles/volume] in Cerebral spinal fluid	3020044	48255	0.00630%	2992	0.00039072%	51247	0.00669223%	39377	2657	41288
260	Choriogonadotropin.beta subunit free [Moles/volume] in Serum or Plasma	3019497	47884	0.00625%	486	0.00006347%	48370	0.00631653%	38405	479	38598
261	Neisseria gonorrhoeae DNA [Presence] in Urine by NAA with probe detection	3003510	47237	0.00617%	433757	0.05664337%	480994	0.06281195%	36701	272822	304924
262	Metamyelocytes/100 leukocytes in Blood	3002179	46111	0.00602%	94069	0.01228426%	140180	0.01830580%	24237	36965	57852
263	Leukocytes [#/volume] in Synovial fluid	3000475	45925	0.00600%	3196	0.00041736%	49121	0.00641460%	32297	2969	34303
264	Carbon dioxide [Partial pressure] in Arterial cord blood	3003932	45922	0.00600%	4424	0.00057772%	50346	0.00657457%	45880	4423	50224
265	Benzodiazepines [Presence] in Urine	3000764	45441	0.00593%	267314	0.03490795%	312755	0.04084199%	24411	159142	176319
266	Fractional oxyhemoglobin in Capillary blood	3022806	45399	0.00593%	1670	0.00021808%	47069	0.00614664%	27590	1577	28247
267	Neisseria gonorrhoeae DNA [Presence] in Specimen by NAA with probe detection	3011371	45225	0.00591%	184211	0.02405571%	229436	0.02996154%	33083	127886	165046
268	Borrelia burgdorferi IgM Ab [Units/volume] in Serum	3008230	44540	0.00582%	81959	0.01070285%	126499	0.01651923%	37196	72260	107694
269	pH of Arterial cord blood	3006598	44205	0.00577%	6196	0.00080912%	50401	0.00658176%	44167	6195	50286
270	Hepatitis C virus Ab [Presence] in Serum	3017143	43970	0.00574%	263812	0.03445063%	307782	0.04019258%	34179	193356	223215
271	Oxygen [Partial pressure] in Arterial cord blood	3021706	42400	0.00554%	4291	0.00056035%	46691	0.00609728%	42364	4290	46605
272	Timothy IgE Ab [Units/volume] in Serum	3003888	41265	0.00539%	33360	0.00435641%	74625	0.00974511%	37741	31966	70786
273	Hepatitis B virus surface Ab [Presence] in Serum	3017797	40675	0.00531%	23424	0.00305889%	64099	0.00837055%	33013	20119	52096
274	European house dust mite IgE Ab [Units/volume] in Serum	3023351	40051	0.00523%	43147	0.00563447%	83198	0.01086464%	36608	41264	76940
275	Multiplex allergen panel - Serum or Plasma	36660136	39560	0.00517%	29685	0.00387650%	69245	0.00904255%	12116	26210	30586
276	Thyrotropin receptor Ab [Units/volume] in Serum	3017044	39428	0.00515%	24557	0.00320684%	63985	0.00835566%	21528	20362	37338
277	Bicarbonate [Moles/volume] standard in Arterial cord blood	3041008	37901	0.00495%	394	0.00005145%	38295	0.00500086%	37875	394	38248
278	Fetal Nuchal fold Thickness US	3005033	37406	0.00488%	2147	0.00028037%	39553	0.00516514%	31523	2034	32450
279	Insulin-like growth factor-I [Moles/volume] in Serum or Plasma	3014326	37114	0.00485%	1034	0.00013503%	38148	0.00498166%	19374	846	19667
280	Buprenorphine [Presence] in Urine by Screen method	1001926	36638	0.00478%	214093	0.02795793%	250731	0.03274241%	18243	115459	130747
281	INR in Blood by Coagulation assay	3032080	36321	0.00474%	534	0.00006973%	36855	0.00481281%	12100	558	12544
282	Cannabinoids [Presence] in Urine	3028300	35619	0.00465%	284060	0.03709477%	319679	0.04174618%	20516	164296	178512
283	Mugwort IgE Ab [Units/volume] in Serum	3008401	35265	0.00461%	38171	0.00498467%	73436	0.00958985%	32285	36697	70638
284	EKG study	3013512	34843	0.00455%	547914	0.07155089%	582757	0.07610096%	22843	192562	241201
285	Gas panel - Venous blood	3000991	34063	0.00445%	157029	0.02050607%	191092	0.02495428%	15476	55093	77366
286	Elastase.pancreatic [Mass/mass] in Stool	3000570	33771	0.00441%	10531	0.00137522%	44302	0.00578530%	25409	9556	33798
287	C peptide [Moles/volume] in Serum or Plasma --fasting	3032836	33584	0.00439%	863	0.00011270%	34447	0.00449836%	19193	402	19402
288	Fungus identified in Specimen by Culture	3000494	33331	0.00435%	174356	0.02276877%	207687	0.02712139%	28703	135315	170332
289	Hepatitis B virus core Ab [Presence] in Serum	3021879	33035	0.00431%	132331	0.01728081%	165366	0.02159478%	27573	103098	127039
290	IgG subclass 1 [Mass/volume] in Serum	3027135	32550	0.00425%	5940	0.00077569%	38490	0.00502632%	12976	2502	15250
291	Estradiol (E2) [Moles/volume] in Serum or Plasma	3026725	32095	0.00419%	6304	0.00082323%	38399	0.00501444%	23231	5348	27335
292	Hyaline casts [#/area] in Urine sediment by Automated count	3043722	31701	0.00414%	1129	0.00014743%	32830	0.00428720%	15602	999	15878
293	Pathology report gross observation	3002256	31438	0.00411%	210110	0.02743780%	241548	0.03154322%	27801	181923	206142
294	Human epididymis protein 4 [Moles/volume] in Serum or Plasma	40758310	31445	0.00411%	568	0.00007417%	32013	0.00418051%	26725	545	27056
295	IgG subclass 3 [Mass/volume] in Serum	3024139	31418	0.00410%	6862	0.00089609%	38280	0.00499890%	12496	2836	15162
296	Amphetamines [Presence] in Urine	3027944	31208	0.00408%	265829	0.03471403%	297037	0.03878941%	19279	161648	175242
297	IgG subclass 2 [Mass/volume] in Serum	3028192	31272	0.00408%	7000	0.00091411%	38272	0.00499786%	12458	2895	15161
298	CD3 cells/100 lymphocytes in Blood	1175426	30528	0.00399%	2156	0.00028155%	32684	0.00426813%	9657	1048	10149
299	Macroprolactin/Prolactin [Moles] in Serum or Plasma	3051050	30398	0.00397%	149	0.00001946%	30547	0.00398907%	20586	116	20631
300	Follitropin [Units/volume] in Serum or Plasma by Immunoassay	42529215	30302	0.00396%	569	0.00007430%	30871	0.00403138%	22938	549	23268
301	IgG [Mass/volume] in Cerebral spinal fluid	3007368	30022	0.00392%	2960	0.00038654%	32982	0.00430705%	12879	1392	14043
302	B lymphocytes [#/volume] in Blood	3000060	29744	0.00388%	1283	0.00016754%	31027	0.00405175%	12789	1068	13261
303	CD3 cells [#/volume] in Blood	3011412	29391	0.00384%	1528	0.00019954%	30919	0.00403764%	12722	1205	13238
304	Body weight Measured	3013762	29425	0.00384%	1937	0.00025295%	31362	0.00409549%	2736	501	2887
305	Enolase.neuron specific [Mass/volume] in Serum or Plasma	3028531	29207	0.00381%	563	0.00007352%	29770	0.00388760%	18324	496	18515
306	Helicobacter pylori Ab [Titer] in Serum	3027696	28685	0.00375%	29257	0.00382061%	57942	0.00756652%	26647	28440	54951
307	Mycoplasma pneumoniae IgM Ab [Presence] in Serum by Immunoassay	3010521	28563	0.00373%	58638	0.00765741%	87201	0.01138739%	25365	51988	77566
308	Protein electrophoresis panel - Serum or Plasma	3004588	28272	0.00369%	142302	0.01858291%	170574	0.02227488%	13145	68321	80078
309	Drugs identified in Urine by Screen method	3011288	28127	0.00367%	201150	0.02626774%	229277	0.02994078%	12593	87042	98573
310	Chlamydophila pneumoniae IgG Ab [Units/volume] in Serum by Immunoassay	3038769	28108	0.00367%	15800	0.00206329%	43908	0.00573385%	25258	14989	39878
311	Gliadin peptide IgA Ab [Units/volume] in Serum by Immunoassay	40766183	28010	0.00366%	18268	0.00238558%	46278	0.00604334%	27087	17579	44395
312	Borrelia burgdorferi IgG Ab [Units/volume] in Serum	3016888	27818	0.00363%	99084	0.01293916%	126902	0.01657185%	22783	86441	107904
313	Reticulocyte production index	3000012	27723	0.00362%	4488	0.00058608%	32211	0.00420636%	14005	3578	16742
314	Potassium [Moles/volume] in Urine	3016038	27444	0.00358%	820	0.00010708%	28264	0.00369093%	10298	344	10461
315	Hemoglobin [Entitic mass] in Reticulocytes	3029080	27192	0.00355%	559	0.00007300%	27751	0.00362394%	14761	476	14829
316	Cytomegalovirus IgG Ab [Units/volume] in Serum or Plasma	3010130	26942	0.00352%	18269	0.00238571%	45211	0.00590401%	21002	14283	33734
317	Opiates [Presence] in Urine	3027008	26880	0.00351%	286911	0.03746708%	313791	0.04097728%	17409	164772	177933
318	Mullerian inhibiting substance [Mass/volume] in Serum or Plasma	3047826	26764	0.00350%	2115	0.00027619%	28879	0.00377125%	22067	1753	23462
319	Hemoglobin.gastrointestinal [Presence] in Stool	3016251	26662	0.00348%	138526	0.01808981%	165188	0.02157154%	14691	62900	74525
320	Body temperature	3020891	26504	0.00346%	2085	0.00027228%	28589	0.00373337%	10034	1793	10648
321	Influenza virus A RNA [Presence] in Isolate by NAA with probe detection	3032475	26430	0.00345%	218534	0.02853788%	244964	0.03198931%	23744	154710	206003
322	Influenza virus A RNA [Presence] in Specimen by NAA with probe detection	3044938	26430	0.00345%	218534	0.02853788%	244964	0.03198931%	23744	162996	214266
323	Insulin [Units/volume] in Serum or Plasma	3016244	26209	0.00342%	796	0.00010395%	27005	0.00352652%	9364	420	9559
324	Dog dander IgE Ab [Units/volume] in Serum	3014133	26110	0.00341%	22900	0.00299046%	49010	0.00640011%	24630	22335	46761
325	Cat dander IgE Ab [Units/volume] in Serum	3023430	25761	0.00336%	23704	0.00309545%	49465	0.00645953%	24325	23074	47232
326	Corticotropin [Moles/volume] in Plasma	3035963	25721	0.00336%	2603	0.00033992%	28324	0.00369877%	18222	2013	19319
327	C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method	3010156	25613	0.00334%	2733	0.00035690%	28346	0.00370164%	16655	2453	18578
328	DNA double strand Ab [Titer] in Serum	3007916	24990	0.00326%	37185	0.00485591%	62175	0.00811930%	16147	29047	42345
329	Cocaine [Presence] in Urine	3016879	24961	0.00326%	266849	0.03484722%	291810	0.03810683%	15925	149940	162296
330	Lactate [Moles/volume] in Venous blood	3008037	24655	0.00322%	869	0.00011348%	25524	0.00333312%	13785	772	14059
331	Bile acid [Moles/volume] in Serum --fasting	3034274	24682	0.00322%	1542	0.00020137%	26224	0.00342453%	10866	1305	12524
332	Specimen collection	4070456	24359	0.00318%	6430	0.00083968%	30789	0.00402067%	10364	2280	12643
333	Protein [Mass/volume] in Pleural fluid	3003434	24277	0.00317%	1801	0.00023519%	26078	0.00340547%	18061	1565	19097
334	C reactive protein [Mass/volume] in Blood by High sensitivity method	42870365	23901	0.00312%	7478	0.00097654%	31379	0.00409771%	10841	5872	15323
335	Varicella zoster virus IgG Ab [Titer] in Serum	3003220	22815	0.00298%	6978	0.00091124%	29793	0.00389060%	20672	3311	23759
336	Calcium [Moles/volume] in Urine	3018133	22736	0.00297%	2034	0.00026562%	24770	0.00323466%	5563	783	5910
337	Sampling of female genital tract for smear	4206982	22770	0.00297%	450157	0.05878501%	472927	0.06175850%	20671	344476	392899
338	Leukocytes [#/volume] in Pleural fluid	3023199	22430	0.00293%	1466	0.00019144%	23896	0.00312053%	16593	1269	17400
339	Respiratory syncytial virus RNA [Presence] in Specimen by NAA with probe detection	3044254	22467	0.00293%	223498	0.02918611%	245965	0.03212003%	19864	168317	185470
340	CD3-CD16+CD56+ (Natural killer) cells/100 cells in Blood	3027831	22330	0.00292%	1794	0.00023427%	24124	0.00315030%	5980	685	6358
341	Methadone [Presence] in Urine by Screen method	3028707	22205	0.00290%	141321	0.01845480%	163526	0.02135450%	12489	53819	63239
342	IgA [Presence] in Serum	3045975	22122	0.00289%	87464	0.01142173%	109586	0.01431060%	21400	79172	98693
343	Erythropoietin (EPO) [Units/volume] in Serum or Plasma	3024172	22059	0.00288%	361	0.00004714%	22420	0.00292778%	18479	346	18706
344	Normetanephrine [Moles/volume] in Serum or Plasma	3026179	21489	0.00281%	363	0.00004740%	21852	0.00285360%	17905	351	18115
345	Respiratory syncytial virus RNA [Identifier] in Specimen by NAA with probe detection	3043924	21426	0.00280%	159570	0.02083790%	180996	0.02363587%	18858	120544	181939
346	carBAMazepine [Moles/volume] in Serum or Plasma	3018980	21282	0.00278%	259	0.00003382%	21541	0.00281299%	8741	199	8813
347	CD3-CD16+CD56+ (Natural killer) cells [#/volume] in Blood	3025271	21205	0.00277%	1199	0.00015657%	22404	0.00292569%	9067	895	9529
348	Mycobacterium tuberculosis stimulated gamma interferon release by CD4+ and CD8+ T-cells [Units/volume] in Blood	36304997	21113	0.00276%	43228	0.00564505%	64341	0.00840215%	19323	27282	45196
349	Egg white IgE Ab [Units/volume] in Serum	3014599	21057	0.00275%	23503	0.00306921%	44560	0.00581899%	16830	22870	39205
350	10-Hydroxycarbazepine [Moles/volume] in Serum or Plasma	3048469	21038	0.00275%	1784	0.00023297%	22822	0.00298027%	9276	936	9468
351	Protein C actual/normal in Platelet poor plasma by Coagulation assay	3020287	20897	0.00273%	551	0.00007195%	21448	0.00280085%	19561	539	19933
352	Chromogranin A [Moles/volume] in Serum or Plasma	3014702	20672	0.00270%	812	0.00010604%	21484	0.00280555%	8403	684	8592
353	Milk IgE Ab [Units/volume] in Serum	3020874	20495	0.00268%	21443	0.00280019%	41938	0.00547659%	17096	20838	37445
354	Oxygen content in Mixed venous blood	3016846	20435	0.00267%	7207	0.00094115%	27642	0.00360971%	2570	931	3420
355	Hepatitis B virus core and surface Ab and surface Ag panel - Serum	46237023	20457	0.00267%	34602	0.00451860%	55059	0.00719003%	18320	28670	44554
356	Thyroglobulin [Moles/volume] in Serum or Plasma	3007446	20280	0.00265%	19369	0.00252936%	39649	0.00517768%	5709	5397	8482
357	Gliadin peptide IgG Ab [Units/volume] in Serum by Immunoassay	40766189	20301	0.00265%	72286	0.00943967%	92587	0.01209073%	19197	68245	87501
358	Haemophilus influenzae B DNA [Presence] in Specimen by NAA with probe detection	3024794	20209	0.00264%	181788	0.02373930%	201997	0.02637834%	17735	132346	147994
359	Influenza virus B RNA [Presence] in Specimen by NAA with probe detection	3038288	20209	0.00264%	181788	0.02373930%	201997	0.02637834%	17735	132346	147994
360	Carbon dioxide [Partial pressure] in Mixed venous blood	3021513	20023	0.00261%	7215	0.00094219%	27238	0.00355695%	2526	928	3376
361	Osmolality of Serum or Plasma	3008295	19870	0.00259%	660	0.00008619%	20530	0.00268097%	15496	487	15725
362	Horse dander IgE Ab [Units/volume] in Serum	3010726	19682	0.00257%	27819	0.00363282%	47501	0.00620305%	18624	27018	45360
363	Erythrocytes [#/volume] in Synovial fluid	3010144	19191	0.00251%	5273	0.00068859%	24464	0.00319470%	13722	4446	17446
364	Salmonella sp identified in Stool by Organism specific culture	3004716	18914	0.00247%	141431	0.01846916%	160345	0.02093910%	13639	113135	128094
365	Peanut IgE Ab [Units/volume] in Serum	3012494	18827	0.00246%	10164	0.00132729%	28991	0.00378587%	15879	9724	25259
366	Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma	3026285	18833	0.00246%	492	0.00006425%	19325	0.00252361%	17714	480	18111
367	Beta-2-Microglobulin [Mass/volume] in Serum or Plasma	3013201	18657	0.00244%	796	0.00010395%	19453	0.00254032%	10047	391	10193
368	Tissue transglutaminase IgG Ab [Units/volume] in Serum	3046870	18690	0.00244%	45091	0.00588833%	63781	0.00832902%	17900	41678	59364
369	Albumin [Mass/time] in Urine collected for unspecified duration	3050449	18680	0.00244%	14360	0.00187524%	33040	0.00431462%	11276	8082	14796
370	CD19 cells [#/volume] in Blood	3010503	18341	0.00240%	390	0.00005093%	18731	0.00244604%	6853	350	6964
371	Clostridioides difficile toxin genes [Presence] in Stool by NAA with probe detection	3051552	18387	0.00240%	153304	0.02001963%	171691	0.02242075%	13595	102002	112003
372	CD3+CD8+ (T8 suppressor) cells [#/volume] in Blood	3001405	18337	0.00239%	389	0.00005080%	18726	0.00244539%	6853	348	6959
373	Folate [Moles/volume] in Blood	3006270	18271	0.00239%	473	0.00006177%	18744	0.00244774%	16007	457	16307
374	Hepatitis B virus core IgM Ab [Presence] in Serum	3013527	18336	0.00239%	11937	0.00155883%	30273	0.00395328%	16576	10654	26972
375	CD3+CD4+ (T4 helper) cells [#/volume] in Blood	3028167	18340	0.00239%	387	0.00005054%	18727	0.00244552%	6853	347	6959
376	Helicobacter pylori Ag [Presence] in Stool	3013139	18084	0.00236%	101817	0.01329606%	119901	0.01565761%	15739	88905	103471
377	Renin [Units/volume] in Plasma	3011985	17663	0.00231%	622	0.00008123%	18285	0.00238780%	12682	558	12932
378	Amylase [Enzymatic activity/volume] in Urine	3017315	17456	0.00228%	375	0.00004897%	17831	0.00232851%	13877	350	14152
379	Somatotropin [Units/volume] in Serum or Plasma	3046904	17446	0.00228%	2144	0.00027998%	19590	0.00255822%	6522	1452	7513
380	Stomach Pathology biopsy report	40768797	17445	0.00228%	218699	0.02855942%	236144	0.03083753%	16466	191133	211470
381	Methotrexate [Moles/volume] in Serum or Plasma	3017115	17421	0.00227%	2955	0.00038589%	20376	0.00266086%	1580	817	1779
382	Coagulation factor V activity actual/normal in Platelet poor plasma by Coagulation assay	3005757	17311	0.00226%	428	0.00005589%	17739	0.00231650%	9298	406	9601
383	Proteinase 3 Ab [Units/volume] in Serum	3009445	17208	0.00225%	59999	0.00783514%	77207	0.01008229%	7413	48808	56841
384	Erythrocytes [#/volume] in Pleural fluid	3028308	17256	0.00225%	2970	0.00038785%	20226	0.00264127%	12857	2430	14930
385	Band form neutrophils/100 leukocytes in Blood	3004809	17096	0.00223%	1751	0.00022866%	18847	0.00246119%	15531	1457	16345
386	5-Hydroxyindoleacetate [Moles/volume] in Serum or Plasma	3030136	16724	0.00218%	291	0.00003800%	17015	0.00222195%	6930	244	7046
387	Aldosterone [Moles/volume] in Serum or Plasma	3001788	16600	0.00217%	1592	0.00020790%	18192	0.00237565%	13704	1370	14710
388	Bilirubin.conjugated [Mass/volume] in Serum or Plasma	3019676	16589	0.00217%	1270	0.00016585%	17859	0.00233217%	13777	1228	14918
389	Endomysium IgA Ab [Titer] in Serum	3020961	16641	0.00217%	129459	0.01690577%	146100	0.01907888%	13709	116346	130517
390	Lactate [Moles/volume] in Cerebral spinal fluid	3035999	16579	0.00217%	902	0.00011779%	17481	0.00228281%	13835	854	14334
391	Glucose tolerance test	4012477	16644	0.00217%	177048	0.02312031%	193692	0.02529381%	10955	121244	146817
392	Methicillin resistant Staphylococcus aureus [Presence] in Specimen by Organism specific culture	3019902	16447	0.00215%	470200	0.06140239%	486647	0.06355016%	7334	169638	178094
393	Sodium [Moles/time] in 24 hour Urine	3002079	16132	0.00211%	4310	0.00056283%	20442	0.00266948%	6865	1775	7165
394	Metanephrine [Moles/volume] in Serum or Plasma	3009340	16124	0.00211%	3894	0.00050851%	20018	0.00261411%	13688	3289	16581
395	Free Hemoglobin [Mass/volume] in Plasma	3022493	16086	0.00210%	1233	0.00016101%	17319	0.00226165%	6704	1077	7622
396	Food Allergen Mix 5 (Peanut+Cow milk+Egg white+Cod+Soybean+Wheat) IgE Ab [Presence] in Serum by Multidisk	3009176	15966	0.00208%	8996	0.00117477%	24962	0.00325973%	15335	8868	24006
397	Glucose [Moles/volume] in Pleural fluid	3036782	15929	0.00208%	1654	0.00021599%	17583	0.00229613%	12551	1469	13590
398	Eosinophil cationic protein (ECP) [Mass/volume] in Serum	3005791	15844	0.00207%	400	0.00005224%	16244	0.00212127%	11318	365	11515
399	Gas panel - Capillary blood	3022313	15676	0.00205%	305828	0.03993741%	321504	0.04198450%	5251	98736	103304
400	Bilirubin.total [Moles/volume] in Blood	40757494	15534	0.00203%	8289	0.00108244%	23823	0.00311099%	3453	2414	5128
