NAME COUNT
b-pyruv 49
gamma 49
glukoosi 49
kolesteroli/lipiditosatutkimus 49
l-blast% 49
m-komp-1 49
p-hs-crp 49
p-kalium 49
p-kopept 49
pt-gfreepio1 49
s-bopeaba 49
fs-glukoosi 48
gluk2h 48
oma-b-hb 48
p-gluk2h 48
pikacrp 48
s-infliks 48
s-tati 48
ua-ahco3 48
alfa-2 47
b-fiddp 47
fp-triglyseriditplasmasta 47
kolesteroli,lowdensitylipoproteiinit(ldl)/lipiditosatutkimus 47
l-metamy% 47
s-estdiol 47
s-myogl 47
saline 47
u-väliepi 47
hb-vieri 46
p-c1inhbk 46
p-glukr0h 46
s-igf1sds 46
s-rarah6e 46
tffesat 46
tyreotropiini 46
vp-gluk-0h 46
bl-alb 45
bl-igg 45
cb-leuk-hy 45
fp-gluk-p 45
l-lym 45
li-sameus 45
p-nh4-ion 45
p-tnl 45
s-tyglab 45
uv-hco3-st 45
ab-temp 44
alfa-1 44
b-gluk/pika 44
fs-gastr 44
kolesteroli,highdensitylipoproteiinit,plasmasta 44
p-kreap 44
p-tyreotropiini(ko) 44
perusterveyspakettitrigly 44
pika-ghb-a,pika-ghb-a1c 44
pikau-stix,u-prot-o 44
pt-gfre* 44
pt-glomerulussuodosnopeus,estimoitu,ckd-ep 44
s-clahere 44
sy-neut+eo 44
u-kemseula,u-ph 44
uv-ahco3 44
vp-gluk-2h 44
b-crp-pik 43
b-leuk-pika 43
fp-amyl 43
kolesteroli,highdensitylipoproteiinit/lipiditosatutkimus 43
p-aldos 43
p-fxiii 43
p-gluk-2t 43
p-kp 43
s-ttgabg 43
ap-cl 42
audit 42
b-hemoglobiini-a1c,glykoitunut 42
li-igg. 42
ly-tcd4/8. 42
p-fx 42
p-la1 42
p-tt-spr 42
pikau-stix,u-gluk-o 42
pt-ttr+inr 42
s-parvabg 42
s-rcora1e 42
s-tygl-va 42
b-hbpvk 41
fp-glukr0 41
p-caion7.4 41
p-ttr 41
s-dnaab 41
s-mpoabg 41
s-pincf 41
s-rarah8e 41
crpvastaanotolla 40
du-alb 40
fb-nh4-ion 40
fp-gluk-0h 40
fp-gluk-2h 40
gluk-vieri 40
p-kreahoi 40
pikau-stix,u-keto-o 40
s-b12vit 40
s-ch100l 40
s-cu 40
s-toxoabg 40
s-tyroksiini,vapaa 40
vp-hco3st 40
-caio7.4 39
-s.yht. 39
b-gluk/pik 39
b-hbpika 39
b-trom-s 39
du-tilavu 39
du-urea 39
fp-lipaas 39
igekoira 39
l-basof% 39
l-eosin% 39
p-mb/ck 39
pf-cea 39
s-scl70ab 39
snabb-crp 39
u-tutk-1,u-ph 39
hb(nla) 38
kissae 38
l-lymfosyytit,automaatio 38
p-ck-mb 38
p-glukhoi 38
p-ldllaskennallinen 38
p-tt-inrqc 38
pf-lzm 38
s-aspfumg 38
s-hstesto 38
s-krtiin 38
s-ruise 38
u-albkre* 38
-caionac 37
-pes.jäl 37
(pikacrp) 37
beeta-1 37
cb-sbc 37
dpteroe 37
f-calpro2 37
iga 37
l-neutrofiilit,automaatio 37
p-inr-o 37
pf-leukmuu 37
pika-ghb-a,pika-hba1c 37
s-infbcf 37
s-inhibb 37
b-gal 36
b-hb,tk 36
cb-hb-v 36
hb 36
l-monosyytit,automaatio 36
p-laite 36
pikau-stix,u-eryt-o 36
s-anaab 36
s-kardab 36
s-mantele 36
sy-liuskat 36
tyroksiini,vapaa 36
u-tutk-1,u-omp 36
vb-to2c 36
b-d-dimer 35
b-ohbutm 35
hevonee 35
p-etgly 35
p-nahoi 35
p-se 35
pikau-stix,u-leuk-o 35
pikau-stix,u-nitr-o 35
pt-glomerulussuodosnopeus,pt-gfreepiestimoitu,ckd-epi-kaava 35
s-igg-oc 35
-transf 34
b-basof* 34
cb-glukr 34
cb-leuk 34
cladhee 34
crp(hoitaja) 34
igekissa 34
s-aspartaattiaminotransferaasi 34
s-pölyry 34
timotee 34
u-alb/kre,u-alb/krea 34
u-tutk-1 34
-pyör.s. 33
as-gluk 33
b-inr 33
fp-a-vit 33
glukoosi(hoitaja) 33
glukr-0 33
igekoivu 33
inr-liuska 33
kalium 33
ly-t-cd4. 33
p-nap 33
p-prostataspesifinenantigeeni 33
p-tyroksiini,vapaa(ko) 33
s-dnanab. 33
s-probnp 33
s-sentab 33
s-testo-vl 33
s-zn 33
vp-gluk-1h 33
24hkors 32
b-eosinofiilit,verestä 32
b-ghba1c/p 32
b-inr-oma 32
b-lymfos* 32
bl-igg/alb 32
crp-pikatesti 32
glomerulussuodosnopeus,estimoitu(6354pt-gfre) 32
hemoglobiini-a1c 32
nt- 32
p-meoh 32
p-pctpika 32
perusterveyspakettigluk 32
pf-ly+mo 32
pujoe 32
s-campabm 32
s-kaseiie 32
s-ohrae 32
s-t3-vdi 32
u-phv 32
uv-be 32
b-ghba1c/pika 31
b-pvk+tkd 31
cfp-glucos 31
crp-vt 31
d-vitamiini-25-oh 31
du-vmml 31
e-fragm 31
fs-insu 31
fs-urea 31
l-basof* 31
l-neutr* 31
p-kalsium 31
p-varmtr 31
perusterveyspakettialat 31
perusterveyspakettikrea 31
s-afsuol3 31
s-campaba 31
s-ifx 31
s-ohrajae 31
s-rarah9e 31
s-s100 31
-cdt 30
-krea 30
cb-hba1c 30
du-5hiaa 30
fp-renin-p 30
koivue 30
kreatiniini(4600p-krea) 30
kt/v 30
l-eosin* 30
l-segm 30
p-fii 30
p-progly 30
p-uraatti 30
p-varmtt 30
pf-laktaat 30
pf-muutsol 30
pt-gluk-r1 30
pt-no-ex 30
s-ferritiini 30
s-gh 30
s-kors/r 30
s-om5glie 30
s-rarah1e 30
s-rarah3e 30
sy-polymor 30
u-makrof 30
u-om.p. 30
b-ohbutp 29
d-vitamiini-25-oh,plasmasta 29
du-aldos 29
hoihb 29
l-lymfos* 29
li-ly 29
li-neut+eo 29
natrium 29
p-crp-päi 29
perusterveyspakettilowdensitylipoprot 29
s-afsuol1 29
s-fenob 29
s-kaurjae 29
u-albkrlb 29
b-mpadp 28
bl-solut 28
c-reaktiivinenproteiini(p-crp) 28
cp-ph 28
fs-pp 28
kol/hdl 28
l-baso**** 28
li-ada 28
p-fibr. 28
pt-glomerulussuodatusnopeus,estimoitu,ckd-epi-kaava 28
s-cl 28
s-rsvcf 28
s-tpha 28
s-van-0 28
sy-yksit 28
-alb 27
b-laktaat 27
c-reaktiivinenproteiini(crp) 27
fs-lipaas 27
hoiglukstx 27
oma-hba1c 27
p-ipro 27
perusterveyspakettihdl-kol 27
perusterveyspakettikol 27
phadiatop 27
pika-ghb-a1c,pika-hba1c 27
s-d-vitamiini-25-oh 27
s-estdio 27
s-hsvabg 27
s-pölyt 27
s-rcora8e 27
s-valpro 27
u-gran 27
vb-hb-vt 27
0mkors 26
as-amyl 26
b-glukhoi 26
b-neut**** 26
ferritiini 26
fp-gluk-2 26
fp-kolesteroli,highdensitylipoprotein,plasmasta 26
l-eos**** 26
l-neut** 26
li-lzm 26
ly-tbspotb 26
maitoe 26
mono* 26
monosyytit-osuus 26
osmolaliteetinestimaatti 26
p-aptt. 26
p-insu 26
p-posturea 26
p-prot 26
pd-krea 26
perusterveyspakettigt 26
pika-ghb-a1c,pika-ghb-a1c 26
s-kopept 26
s-puumabg 26
s-tes-vlik 26
triglyseriditplasmasta,paastotila(ko) 26
u-kreahuu 26
u-urea 26
uv-hb 26
b-cya-mit 25
cb-leuk-o 25
fp-uraat 25
fs-pepsin1 25
hba1c-pika 25
hba1cvieri 25
koirae 25
l-lymf-hy 25
l-lymf** 25
l-mono** 25
lämpöt. 25
p-afxaapi 25
p-ca-albk* 25
p-fxiii. 25
p-gluk1h 25
s-afmuut 25
s-kol-ldl 25
s-ruoat 25
se-amyl 25
u-hb-o 25
up-tsh 25
vb-o2hb 25
vehnjae 25
b-erytroblastit,absoluuttiset,automaattidiffi 24
b-hb-o 24
b-ko/epi1 24
glukr-1h 24
l-baso* 24
l-baso** 24
l-eos-hy 24
l-mo 24
l-mono-kd 24
p-at3-spr 24
p-digoks 24
p-glukp 24
s-afp/d 24
s-afsuol2 24
s-albind 24
s-aldos-p 24
s-cic 24
s-ictp 24
s-karni 24
s-langab 24
s-psa/oma 24
s-testosteroni 24
s-trigly 24
soijae 24
sy-muutsol 24
tupakka 24
turskae 24
u-osmoie 24
vb-na 24
-extem/mcf 23
b-baso* 23
b-baso*** 23
b-eos**** 23
b-ko/adp2 23
b-lymf** 23
b-neut** 23
b-probnp-o 23
baso* 23
du-mg 23
du-oksal 23
e-rdv 23
eosinofiilit-osuus 23
eosinofiilit%-osuus(diffi) 23
globuliini 23
koivu 23
ly-tbspota 23
lymf* 23
munavae 23
p-aboabam 23
p-amylaasi 23
p-asetoni 23
p-reumafaktori,määritys 23
p-ttinrsp 23
pd-leuk 23
pd-urea 23
pf-ace 23
pf-lymf 23
s-kalsium,ionisoitunut,aktuaalinen 23
s-kreatiniini 23
s-rjugr3e 23
s-ruocome 23
u-bakt. 23
u-cakre 23
vb-he-tase,vb-ph 23
-extem/a5 22
-tffesat 22
(pikahb) 22
b-hemoglobiinipvk:nosana 22
b-ko/adp1 22
b-ko/epi2 22
igehevonen 22
li-eryt-1 22
li-neut 22
neutrof 22
nu-alb 22
p-gluc 22
p-glukr1h 22
p-lh/fsh 22
p-ntprobnp 22
prostataspesifinenantigeeni 22
s-adali 22
s-adencf 22
s-albu 22
s-asiroe 22
s-hhv6abg 22
s-igg-sum 22
s-tputree 22
s-tsh-peg 22
s-valpr-v 22
s-vedol 22
u-cr 22
v-na 22
vb-ca++ 22
vb-cl 22
-extem/a10 21
asetoniaineet(kval) 21
b-ghba1c-oma 21
b-hbpoc 21
b-neut* 21
b-vthba1c 21
b–neut 21
basofiilit%-osuus(diffi) 21
cb-inrpika 21
crp(päiv.hoitaja) 21
crppikatutkimusoma 21
cu-a1miglo 21
eo 21
i-statcrea 21
kolesteroli,lowdensitylipoproteiinit/lipidit 21
l-ly** 21
l-neut-hy 21
lasko 21
li-gran 21
li-mononuk 21
li-monos 21
neutrofiilit-osuus 21
oma-ghb-a1c 21
s-achr-ab 21
s-albumiini 21
s-ampmyre 21
s-haspähe 21
s-ige-ss 21
s-kardabg 21
s-karni-v 21
s-kaurae 21
s-laktaat 21
s-p-ancif 21
s-päivke 21
sy-lymf 21
sy-pmn 21
u-kemseul,u-ph 21
-extem/a15 20
-extem/ct 20
albumiini(kval) 20
b-diffi 20
b-lakteh 20
b-leuc-v 20
b-leupika 20
b-trombosyytit-pvk:nosana 20
basofiilit-osuus 20
fp-bil 20
fp-gluk,tk 20
glukr-2h 20
l-eos** 20
ly-tbspppd 20
lymfosyytit-osuus 20
neutrofiilit%-osuus(diffi) 20
oma,pvk+t 20
p-mypa 20
p-neste-pika,p-na 20
p-omagluk 20
p-vwfrco 20
plasmanc-reaktiivinenproteiiniosoitus 20
s-campabg 20
s-ck-mb 20
s-gluk 20
s-kardabm 20
s-vancom 20
u-epiteelit 20
v-k 20
-psa-v/t 19
0hp-gluk 19
ap-shco3 19
b-lymf* 19
c-reaktiivinenproteiini 19
eos** 19
fb-leukosyytitpvk:nosatutkimus 19
fibtem/a15 19
fs-ffa 19
glukr0 19
hoighb-a1c 19
kalsium,ionisoitunut(7.4) 19
l-lymf* 19
l-neut* 19
li-lymfosy 19
monosyytit%-osuus(diffi) 19
ns-eos 19
p-afxariv 19
p-clhoi 19
p-glukpoc 19
p-inr-oma 19
p-psa-v* 19
p-tt-inrp 19
s-ceakym 19
s-flekain 19
s-infaabg 19
s-metad 19
s-van-1 19
u-b2miglo 19
u-kemseul,u-suhtih 19
vb-hkr 19
-extem/ml 18
af-leuk 18
b-diffi,l-eos 18
b-neut# 18
b-pb 18
b-tnipika 18
fibtem/a5 18
hevonen 18
kalsium,ionisoitunut,ph7.4-korjattu 18
kolesterolinjahdl-kolest.suhde 18
l-eos* 18
l-lt 18
ly-cd4-8- 18
lymfosyytit%-osuus(diffi) 18
p-c1inh 18
p-la1/la2 18
p-pbnp-o 18
p-protc 18
pt-krea-cl 18
punasolujenkokojakaumaparametri 18
s-adenabg 18
s-alb(li) 18
s-codiab 18
s-dhea 18
s-eläiner 18
s-evircf 18
s-gliadie 18
s-hsv2abg 18
s-ldestre 18
s-leveti 18
s-mehmyre 18
s-pensppe 18
s-rcora9e 18
s-rubeabg 18
s-teofy 18
sy-monit 18
tnipika 18
tnlpika 18
u-albkrea* 18
v-hct 18
-bnp 17
as-ly 17
b-diffi,l-bas 17
b-erytroblasti 17
b-hb-th 17
b-hba1c/pika 17
cb-ghb-a1c 17
du-cl 17
fibtem/a10 17
fp-kolesteroli,plasma 17
fs-ct 17
fs-pepsin2 17
ikäryhmä 17
kalsium,ionisoitunut,aktuaali 17
l-baso-hy 17
p-bil-mi 17
p-la2 17
p-prbnpvt 17
p-reumafa 17
prostataspesifinenantigeeni,kokonais 17
pt-glomerulussuodosnopeus,estimoitu 17
s-b12-vitamiini 17
s-ena 17
s-gdomese 17
s-hcgbvtr 17
s-hepsid 17
s-immunoglobuliinia 17
s-mycoplasmapneumoniae,iggvasta-aineet 17
s-ovalbue 17
s-pähkier 17
s-puumabm 17
s-rcypc1e 17
s-rsvabcf 17
s-ssa-52 17
sy-l/liusk 17
sy-l/yksit 17
as-neut 16
b-ghba1c/ 16
b-myogl-v 16
du-sitraat 16
epiteelit 16
fs-apob/a1 16
ghb-a1c(vo.hoitaja) 16
glutamyylitransferaasi 16
hemoglobiini-a1c,glykoitunut(6128b-hba1c) 16
ica(7.4) 16
kalsium,ionisoitunut(akt) 16
l-lymf-kd 16
l-st 16
neutrofiilit,absoluuttiset 16
oma-ghb-a1 16
p-amyl. 16
p-apcres 16
p-fxi 16
p-neste-pika,p-krea 16
p-tfr* 16
s-b6-vit 16
s-ca153kym 16
s-ceaver 16
s-chtrabg 16
s-evirabg 16
s-ferritiini(ko) 16
s-hcg-tot 16
s-pinfabcf 16
s-scc-ag 16
u-hg 16
-extem/cft 15
as-eos 15
as-ld 15
askivuosia 15
b-hb-poc 15
b-hba1c/p 15
diabetes 15
erytrosyytit,kokojakauma 15
fb-folat 15
fb-gluk 15
fp-ctx 15
fp-glukgr0 15
fp-triglyseridit,plasma 15
fs-kol/kol-hdl-suhde 15
kissa 15
l-baso-kd 15
l-neut-kd 15
p-apttspr 15
p-fidd-hy 15
p-hcg* 15
p-psamob 15
p-tt-spa% 15
pt-gfrekce 15
s-ca-iona* 15
s-gen 15
s-glpepabg 15
s-katkare 15
s-pölyeri 15
s-protks 15
s-rgadc1e 15
s-risper 15
s-scl70-ab 15
s-stpn7f 15
s-strdnab 15
testo/shbg 15
trik-od 15
u-bact 15
u-co 15
u-muuta 15
up-hco3st: 15
vb-ahco3vt 15
vb-he-tase,vb-k 15
vb-he-tase,vb-na 15
30mkors 14
albumiininjakreatiininsuhde(virtsa) 14
ap-ph 14
b-aivoinr 14
b-cardiac,myoglobiini 14
b-diffi,bas 14
b-diffi,eos 14
b-diffi,lymf 14
b-lcd34 14
b-tvk 14
bl-eryt 14
cu-a1migl 14
d.pteronys 14
diabetesiiriskipisteet 14
du-pi 14
fp-gluk-1 14
fvc 14
glukras120 14
koira,hils 14
l-eos-kd 14
l-mono-hy 14
li-laktteh 14
monosyytit,absoluuttiset 14
p-ca-albk(laskennallinentutkimus) 14
p-ferritiini 14
p-inrhoi 14
p-kardabm 14
p-neste-pika,p-k 14
p-osmol 14
p-reumafaktori 14
ph(akt) 14
rasvahappoprofiili 14
s-ebnaab 14
s-igf-1 14
s-ihotab 14
s-inbabcf 14
s-nglym5e 14
s-ruisjae 14
s-rvesv5e 14
s-sflt-1 14
u–kreintp 14
up-hco3st 14
uv-o2sat 14
vb-ca++7.4 14
vb-he-tase,vb-hco3 14
as-gran 13
b-diffi,l-liusk 13
b-diffi,nst 13
b-fidd-p 13
b-ghba1c- 13
b-gluk-o 13
b-leukpä 13
b1-vitentsyymiaktiivisuus 13
cb-gluk-vt 13
eikoseenihappo 13
fl-ph 13
fp-insu0 13
fp-kreatiniini 13
kalsium,osatutkimus(p-ca) 13
kolesterolinjahdl-kolesterolinsuhde 13
lymfosyytit,absoluuttiset 13
magnesium,kokoveren 13
mchc 13
nikkeli,virtsa 13
omega3-rasvahappojenkokonaismäärä 13
osmolaliteettiestimoitu 13
p-fs 13
p-glu/0* 13
p-gluk-1t 13
p-glukgr2 13
p-trijodityroniini,vapaa 13
p-urat 13
pf-pmn 13
s-afos1ma 13
s-alkalinenfosfataasi 13
s-b-hcg/d 13
s-cpept-a 13
s-frtuab 13
s-hernee 13
s-klobat 13
s-lohie 13
s-plgf 13
s-ruokae 13
s-stpn19f 13
se-bil 13
timotei 13
työkyky 13
u-välimep 13
ua-o2sat 13
vb-he-tase,vb-pco2 13
vb-k 13
vb-pco2-vt 13
verinäytteenotto 13
aa/epasuhdeluku 12
ab-hb02sat 12
arakidonihappo 12
b-cd 12
b-col/epi 12
b-diffi,l-lym 12
b-diffi,l-mon 12
b-diffi,mon 12
b-ghbpika 12
b-ly%p 12
b-suuretvärjäytymättömätsolut 12
b6-vitentsyymiaktiivisuus 12
bl-muusolu 12
cb-inr-hoi 12
cp-glukpaa 12
fev1 12
fosfori,kokoveren 12
fp-kolesteroli,lowdensitylipoprotein 12
keskisoluhemoglobiini 12
l-bas 12
l-lymfo 12
li-borrabg 12
li-leukmuu 12
multistix-vieri,ph 12
nu-alb-mi 12
oma-kol 12
p-cu 12
p-pg1/pg2 12
palmitoleiinihappo 12
pf-yksit 12
pika-crptyöterveysasemalla 12
s-c-anca 12
s-c-pepaj 12
s-c1inhbk 12
s-ca-i7.4* 12
s-ebvavi 12
s-hfostr 12
s-igfbp3 12
s-kalaryh 12
s-kalsium,ionisoitunut,aktuaali 12
s-koopähe 12
s-mitoab 12
s-mykoplasma,iggvasta-aineet 12
s-nglym6e 12
s-pölyryhmäjatarvittaessaerittely,igevasta-aineet(ko) 12
s-stpn14 12
s-stpn18c 12
sy-monon 12
tyroideaperoksidaasi,vasta-aineet 12
u-erytrosyytit 12
u-ket-o 12
u-nitr-0 12
vymp 12
-calpro 11
-kalsium,ionisoitunutaktuaalisessaph:ssa 11
afosluusto 11
afosmaksa1 11
b-bnp-v 11
b-ckmbmv 11
b-diffi,l-sauv 11
b-diffi,nlt 11
b-hemocue 11
b-leuk-o 11
b-mn 11
b-neut%p 11
b-pvk+tmd 11
cb-hba1chy 11
dokosapentaeenihappo 11
eikosadieenihappo 11
fp-gluk-0 11
fp-vip 11
fs-bkarot 11
gamma-linoleenihappo 11
gluk-vi 11
kalium,kokoveren 11
kupari,punasolun 11
l-lmono% 11
l-nst% 11
l-suuretvärjääntymättömätsolut 11
li-l/yksit 11
lykopeeni 11
maksa-1-is 11
oma-b-fidd 11
oma-pt-ekg 11
p-gluk0h 11
p-kreatiinikinaasi 11
p-probnp(pika) 11
p-tyreotropiini(pi) 11
p-tyroksiini,vapaa(pi) 11
s-b2gpabg 11
s-bopeabm 11
s-clteab 11
s-cmvabm 11
s-emabg 11
s-envabcf 11
s-hepatitisbvirus,s-antigeeni,vasta-aineet 11
s-infacf 11
s-pappa* 11
s-ruoerco 11
s-stpn23f 11
s-testoms 11
s-toxoavi 11
s-tuosime 11
s-w-h:b 11
sensori 11
tervaleppä 11
työkyky2 11
u-levyep* 11
u-pbg 11
v-ica 11
vb-he-tase,vb-hb 11
vb-vekaas5,ca++ 11
-d-dimqpik 10
alfalinoleenihappo 10
alkalinenfosfataasi 10
audit-c 10
b-col/adp 10
b-crp-tth 10
b-mxd%p 10
b12-vitamiini 10
b2-vitentsyymiaktiivisuus 10
basofiilit,absoluuttiset 10
cb-crp 10
dihomo-gamma-linoleenihappo 10
f-hhb 10
folaatti(fe-folaat) 10
fp-gluk-o 10
fp-gluk,fc 10
fp-glukoosi(gluk.ras0) 10
fs-kalsium-ioni.aktuaali 10
glomerulussuodosnopeus,estimoitu,ckd-epi-kaava 10
glukr120m 10
hemoglobiini.itse 10
i-statk 10
keskisoluhemoglobiinikonsentraatio 10
lakt/pyruv 10
li-eos 10
lieriöt 10
mb-be 10
mb-hco3-st 10
mb-pco2 10
monosyytit/tvk 10
oma-fp-glu 10
p-at3/spr 10
p-fsl/fs 10
p-gluk-sn 10
p-okorsol 10
p-tntpika 10
pf-l/liusk 10
pf-l/yksit 10
pika-krea 10
prostataspesifinenantigeeni,vapaa(psa-v) 10
s-afos2ma 10
s-alfgale 10
s-ami 10
s-asta 10
s-borabmv 10
s-flt/pgf 10
s-gliadiinipeptidit,deamidoidut,iga-vasta-aineet 10
s-hcg-b/d 10
s-hcgbv/d* 10
s-heinäer 10
s-hscrp 10
s-kalsium,ionisoitunut,ph7.4-korjattu 10
s-koiranhilse,igevasta-aineet 10
s-ld-5 10
s-mta 10
s-myplabg 10
s-pin1abg 10
s-psa-suh,s-psa 10
s-rglym4e 10
s-rvesv1e 10
s-stpn5 10
sp-pr+np 10
sy-gluk 10
sy-lymfos 10
testosteroni,vapaalaskettu 10
uraatti 10
us-t4-v 10
v-hb 10
vb-he-tase,vb-beecf 10
vb-vekaas5,agapk 10
vb-vekaas5,be(ecf) 10
vb-vekaas5,k+ 10
vb-vekaas5,pco2 10
vb-vekaas5,ph 10
virtsamärä? 10
-ld 9
!pak.maitoiggvasta-aineet 9
ab-krea-hy 9
afosmaksa2 9
as-leukmuu 9
b-cardiac,ckmb 9
b-diffi,l-neutr 9
b-hba1c,t 9
b-kdiffi,b-monos 9
b-kdiffi,lymf% 9
b-kdiffi,mono% 9
b-kdiffi,neut% 9
b-laktevt 9
b-lymf-m 9
b-neutrofiilit,b-diffiosatutkimus 9
b-tnt-hy 9
b-zn 9
b–eos 9
basofiilit 9
cb-hba1cnla 9
dokosaheksaeenihappo 9
f-antitry 9
fp-transferriininrautakyllästeisyys 9
ghb-a1c-pika 9
glucocheck 9
glukoosi120min 9
hdl-kol/kol-suhde 9
koira 9
l-mono* 9
li-lymf+mo 9
linoleenihappo 9
multistix-,ph 9
myristiinihappo 9
omega6/omega3suhdeluku 9
p-fsl-mix 9
p-kolesteroli 9
p-pro-bnp 9
p-tsh-ong 9
palmitiinihappo 9
ruokafx5 9
s-afosluu 9
s-borabgv 9
s-ceakaj 9
s-ck-mm 9
s-cladcle 9
s-cladosporiumherbarum,igevasta-aineet 9
s-dnan-ab 9
s-hepatiittib-virus,s-antigeeni,vasta-aineet 9
s-ihovab 9
s-infbabg 9
s-infliab 9
s-kor/dxm 9
s-kudostransglutaminaasi,igavasta-aineet 9
s-lehmhie 9
s-pensppg 9
s-prltot 9
s-rapim1e 9
s-ruokryh 9
s-ssa-60 9
s-vehnjäe 9
s-yer3ab 9
seleenikokoveren 9
sokerirasitus,0-näyte 9
sp-ph 9
stearidonihappo 9
transferriinireseptori,liukoinen 9
u-cl 9
u-hyalie* 9
u-mg 9
u-nitriitti(kval) 9
u-osmest* 9
vb-caionvt 9
vb-vekaas5,ctc02 9
vb-vekaas5,na+ 9
xxeos 9
-kalsium,ionisoitunut,korjattuph7,40 8
-pikacrp 8
afossuoli 8
antitrombiiniiii,plasmasta 8
b-cd34 8
b-dextro 8
b-diffi,l-myel 8
b-eosinofiilit,b-diffiosatutkimus 8
b-fosfatidyylietanoli,verestä 8
b-ghba1cp 8
b-kdiffi,b-neut 8
b-kdiffi,eos% 8
b-leuk-pi 8
b-na-v 8
b-napika 8
b-probnpo 8
c-reaktiivinenproteiini,vieritutkimusnordlab 8
eikosapentaeenihappo 8
ekg 8
fev%/brdil 8
fs-lipo(a) 8
glukras-0 8
hb(hoitaja) 8
i-stathb 8
i-stathct 8
kalsium 8
kalsium,albumiinikorjattu 8
l-basofiilisetlaukosyytit 8
l-cd34 8
lämpö 8
li-l/liusk 8
luusto-is 8
lymfosyytit,osatutkimus(l-lymf) 8
maapähkinä 8
maito 8
ns-neut 8
oleiinihappo 8
oma-crp-pika 8
oma-fp-gluk 8
oma-k 8
omega6-rasvahappojenkokonaismäärä 8
p-b12-bc 8
p-hcvnhty 8
p-kalsium,albumiinikorjattu 8
p-probnp( 8
p-prostataspesifinenantigeeni,vapaa 8
p-tt-in 8
pika-dimee 8
psa-v/psa-suhde 8
s-adaliab 8
s-afossuo 8
s-b12-vitamiini(ko) 8
s-ca199ver 8
s-clteabg 8
s-cob5abg 8
s-eläi1er 8
s-fenytv 8
s-jo1ab 8
s-leppäe 8
s-munakee 8
s-mycoplasmapneumoniae,igmvasta-aineet 8
s-prostataspesifinenantigeeni 8
s-psa(pi) 8
s-pujonsiitepöly,igevasta-aineet 8
s-puu9er 8
s-rpena1e 8
s-seesame 8
s-stpn1 8
s-stpn6b 8
s-tomaate 8
sokerirasitus,2hnäyte 8
testosteroni 8
trijodityroniini,vapaa 8
u-hb 8
u-leuk-bv* 8
u-pien.ep 8
u-solut 8
vb-be-vt 8
vb-he-tase,p-na 8
vb-he-tase,vb-po2 8
vb-vekaas5,chgb 8
vb-vekaas5,cl- 8
vb-vekaas5,po2 8
vehnä,ruok 8
xxbaso 8
b-basabs 7
b-eosin* 7
b-ghba1c-liuska 7
b-hba1chy 7
b-ly* 7
b-neut,osatutkimus(b-neut) 7
b-tnt-vt 7
basofiilit,osatutkimus(l-baso) 7
c-reaktiivinenproteiini,pika 7
cb-gluk-v 7
crp,herkkä 7
d-dimer 7
du-iglcl 7
e-cdw 7
f-kalprotektiini,ulosteesta 7
fev1% 7
fibriinind-dimeerit,pikatesti(b-fidd-o) 7
fp-glukoosi(gluk.ras2h) 7
fvc/brdil 7
glukr60m 7
hba1c-vier 7
hoib-keto 7
i-statna 7
l-prom* 7
lymfosyytit,absol.arvot 7
maksa-2-is 7
mch 7
mns 7
p-adam13 7
p-fibrspr 7
p-fiddp 7
p-glkg 7
p-glukgr3 7
p-kortisoli 7
p-la1-mix 7
p-ldl-kolesteroli,suoramittaus 7
p-tnt-hy 7
prostataspesifinenantigeeni,vapaa 7
prostataspesifinenantigeeni,vapaa(p-psa-v) 7
psavapaanjatotaalinsuhde 7
pt-ada-ind 7
s-5-ht 7
s-ana(ait) 7
s-c-reaktiivinenproteiini,pika 7
s-c-reaktiivinenproteiini/ 7
s-ca153ver 7
s-ch100mbl 7
s-dermatophagoidespteronyssinus,igevasta-aineet 7
s-heliabg 7
s-hsvabm 7
s-ica 7
s-igd 7
s-kalaer 7
s-koivunsiitepöly,igevasta-aineet 7
s-kvriski 7
s-luust 7
s-okarba 7
s-parpäh 7
s-psa-suh,psa 7
s-stpn4 7
s-stpn9v 7
s-suoli 7
s-tbeabg 7
s-timoteinsiitepöly,igevasta-aineet 7
s-tobra 7
sp-siitt. 7
sp-tilav. 7
sukupuolihormonejasitovaglobuliini 7
u-a1miglo 7
u-amylp 7
u-dala 7
u-epit-l 7
u-epit-vm 7
u-epiteelisolut 7
u-glukoosi(kval) 7
u-jodidi 7
u-ket-0 7
u-ki 7
u-leuk* 7
u-levyepiteelisolut 7
u-prot-0 7
v-po2 7
vb-he-tase,p-k 7
vb-ph-vt 7
vb-sbc 7
vb-vekaas5,crea 7
vb-vekaas5,hct 7
xxneut 7
-bil 6
-hcgbsuh 6
!pak.maitoigavasta-aineet 6
1.savuk 6
ab-hb-vt 6
am-epo 6
b-6-me-mp 6
b-base 6
b-diffi,l-lymf 6
b-diffi,l-promyel 6
b-ghb-a1cv 6
b-hb-hy 6
b-kdiffi,b-baso 6
b-kdiffi,b-eos 6
b-kdiffi,b-lymf 6
b-mpadphs 6
bu-solut 6
c-reaktiivinenproteiini-pika(4594crp-pika) 6
cp-ohbuthy 6
du-cu 6
du-uraat 6
erik.näyte 6
fb-leukosyytit/ima 6
fe-folaat* 6
fs-rauta 6
glomerulussuodosnopeus,estimoitu,ckd-epi-kaavalla 6
hb-vier 6
hba1cpika 6
hepyaba 6
