ABBREVIATION	COUNT_NOT_MISSING	PERCENTAGE_NOT_MISSING	COUNT_MISSING	PERCENTAGE_MISSING	COUNT_TOTAL
f-kystat	2395	0.0003%	17980	0.00232%	20375
s-jo1ab	3301	0.0004%	17948	0.00232%	21249
vibrnho	568	0.0001%	17901	0.00231%	18469
plesnho	569	0.0001%	17892	0.00231%	18461
p-hcg-tot	49362	0.0064%	17890	0.00231%	67252
li-borrabm	2320	0.0003%	17827	0.00230%	20147
rakkoaika	231165	0.0298%	17798	0.00230%	248963
vb-pco2	475688	0.0614%	17730	0.00229%	493418
s-psa-t	157953	0.0204%	17668	0.00228%	175621
salmnho	586	0.0001%	17668	0.00228%	18254
s-puumabm	4432	0.0006%	17661	0.00228%	22093
u-keto	560	0.0001%	17640	0.00228%	18200
b-crp-pik	9299	0.0012%	17455	0.00225%	26754
p-tnt-lb	4281	0.0006%	17448	0.00225%	21729
s-vzvab	3719	0.0005%	17430	0.00225%	21149
u-prot-ou	3680	0.0005%	17422	0.00225%	21102
bf-syto	975	0.0001%	17399	0.00225%	18374
li-borrabg	2803	0.0004%	17377	0.00224%	20180
hb-o	11135	0.0014%	17250	0.00223%	28385
p-ca-ion.	829489	0.1070%	17100	0.00221%	846589
ts-padbrea	2315	0.0003%	17067	0.00220%	19382
pf-syto	2482	0.0003%	17045	0.00220%	19527
p-cea	87290	0.0113%	16988	0.00219%	104278
ua-hetashb	2951	0.0004%	16962	0.00219%	19913
p-tfr	347019	0.0448%	16958	0.00219%	363977
-stpnag	435	0.0001%	16644	0.00215%	17079
l-ly	769028	0.0992%	16643	0.00215%	785671
l-ly	4868	0.0006%	16643	0.00215%	21511
oma-u-tutk,u-ph	609	0.0001%	16609	0.00214%	17218
f-mm-touk	1914	0.0002%	16501	0.00213%	18415
pt-dxm-r1	334	0.0000%	16357	0.00211%	16691
p-bnp	374604	0.0483%	16268	0.00210%	390872
li-borrab	1305	0.0002%	16247	0.00210%	17552
u-alb/kre	17332	0.0022%	16058	0.00207%	33390
s-toxoabm	1951	0.0003%	16004	0.00207%	17955
pf-diffi	2521	0.0003%	15994	0.00206%	18515
s-soijape	5629	0.0007%	15917	0.00205%	21546
s-chpnabg	28108	0.0036%	15800	0.00204%	43908
u-veri-ou	5317	0.0007%	15777	0.00204%	21094
b-hlakeli	1366	0.0002%	15719	0.00203%	17085
s-pölyer	61137	0.0079%	15699	0.00203%	76836
b-neut_	224021	0.0289%	15697	0.00203%	239718
b-neut_	4711	0.0006%	15697	0.00203%	20408
s-tygl-va	4525	0.0006%	15693	0.00203%	20218
oma-p-gluk	14566	0.0019%	15640	0.00202%	30206
vb-hb	110201	0.0142%	15637	0.00202%	125838
s-hepyaba	22024	0.0028%	15630	0.00202%	37654
s-äit-seul	172	0.0000%	15473	0.00200%	15645
-hsvnho	2942	0.0004%	15471	0.00200%	18413
b-erblas	14376	0.0019%	15437	0.00199%	29813
b-crp-poc	23953	0.0031%	15382	0.00199%	39335
u-sakka	103	0.0000%	15248	0.00197%	15351
ts-padpika	2060	0.0003%	15176	0.00196%	17236
s-toxoabg	4156	0.0005%	15141	0.00195%	19297
oma-crp-pi	1057	0.0001%	15049	0.00194%	16106
s-hevonee	21374	0.0028%	14996	0.00194%	36370
crp(päiv.hoitaja)	1192	0.0002%	14948	0.00193%	16140
hmpvnho	197	0.0000%	14931	0.00193%	15128
ca++/7.40	220012	0.0284%	14927	0.00193%	234939
pin3nho	166	0.0000%	14916	0.00192%	15082
s-ca19-9	100398	0.0130%	14869	0.00192%	115267
s-puumabo	1084	0.0001%	14633	0.00189%	15717
cb-ca-ion	65072	0.0084%	14609	0.00189%	79681
s-ca-i7.4	190297	0.0246%	14574	0.00188%	204871
p-inr-pik	159	0.0000%	14513	0.00187%	14672
bm-pad	2173	0.0003%	14510	0.00187%	16683
b-jak2-d	1059	0.0001%	14490	0.00187%	15549
s-hsvabm	1766	0.0002%	14434	0.00186%	16200
b-morfo	1534	0.0002%	14414	0.00186%	15948
cu-alb	18680	0.0024%	14360	0.00185%	33040
pt-audio-1	258	0.0000%	14235	0.00184%	14493
b-tnt	10396	0.0013%	14195	0.00183%	24591
p-ck	1002814	0.1294%	13938	0.00180%	1016752
s-gadab	12266	0.0016%	13917	0.00180%	26183
li-baktvr	2126	0.0003%	13756	0.00178%	15882
b-crco	1389	0.0002%	13756	0.00178%	15145
s-kissae	25184	0.0033%	13742	0.00177%	38926
sk-pad-if	826	0.0001%	13721	0.00177%	14547
pt-spird-x	135	0.0000%	13659	0.00176%	13794
s-puumabg	5001	0.0006%	13625	0.00176%	18626
np-pinfrsv	2118	0.0003%	13590	0.00175%	15708
s-koirae	25545	0.0033%	13569	0.00175%	39114
s-ebvabg	29344	0.0038%	13544	0.00175%	42888
s-ebvabg	567	0.0001%	13544	0.00175%	14111
b-vasseu1	3818	0.0005%	13496	0.00174%	17314
s-ana-ty	1726	0.0002%	13484	0.00174%	15210
p-b2gpabg	9952	0.0013%	13469	0.00174%	23421
b-crp-pika	20805	0.0027%	13450	0.00174%	34255
cb-po2	244859	0.0316%	13444	0.00173%	258303
np-pikcv19	157	0.0000%	13346	0.00172%	13503
s-hcrp	14090	0.0018%	13334	0.00172%	27424
pt-spirom	2650	0.0003%	13309	0.00172%	15959
pf-solut	6351	0.0008%	13302	0.00172%	19653
cp-gluk-po	19205	0.0025%	13272	0.00171%	32477
s-bopeaba	6851	0.0009%	13242	0.00171%	20093
uv-be	3166	0.0004%	13219	0.00171%	16385
s-gbmab	494	0.0001%	13081	0.00169%	13575
tb1	529	0.0001%	13022	0.00168%	13551
tb2	554	0.0001%	12846	0.00166%	13400
u-sakka,eryt	814	0.0001%	12803	0.00165%	13617
zb-be	14606	0.0019%	12790	0.00165%	27396
b-peth	30639	0.0040%	12774	0.00165%	43413
s-vehn�e	3368	0.0004%	12730	0.00164%	16098
u-huuml-o	179	0.0000%	12721	0.00164%	12900
s-maap�he	4074	0.0005%	12692	0.00164%	16766
u-sakka,leuk	812	0.0001%	12607	0.00163%	13419
b-sikiörh	1995	0.0003%	12570	0.00162%	14565
u-keto-0	10916	0.0014%	12565	0.00162%	23481
-mdrsvi	1661	0.0002%	12565	0.00162%	14226
li-igg-oc	803	0.0001%	12528	0.00162%	13331
s-hsvab	1013	0.0001%	12507	0.00161%	13520
f-crypnho	143	0.0000%	12215	0.00158%	12358
sy-un�k�-o	4455	0.0006%	12164	0.00157%	16619
-pin3ag	128	0.0000%	12102	0.00156%	12230
pt-lisälau	3094	0.0004%	12066	0.00156%	15160
s-hbcabm	18336	0.0024%	11937	0.00154%	30273
s-cdt	438438	0.0566%	11872	0.00153%	450310
hoi-crp-pi	16583	0.0021%	11819	0.00153%	28402
p-crp-hy*	17488	0.0023%	11766	0.00152%	29254
b-lymf	849263	0.1096%	11595	0.00150%	860858
b-lymf	3284	0.0004%	11595	0.00150%	14879
s-havabg	2088	0.0003%	11503	0.00148%	13591
s-lkmab	2083	0.0003%	11479	0.00148%	13562
p-nest-vt	884	0.0001%	11433	0.00148%	12317
-rsvbnho	112	0.0000%	11413	0.00147%	11525
s-hcvnh	1061	0.0001%	11402	0.00147%	12463
as-syto	2230	0.0003%	11391	0.00147%	13621
u-osmest	469849	0.0606%	11383	0.00147%	481232
ts-padkolp	131	0.0000%	11354	0.00147%	11485
s-infliab	3354	0.0004%	11341	0.00146%	14695
oma-hba1c	2612	0.0003%	11338	0.00146%	13950
pt-brdil	2259	0.0003%	11317	0.00146%	13576
u-lier	1010117	0.1304%	11277	0.00146%	1021394
f-virnho	243	0.0000%	11025	0.00142%	11268
u-huseula	6273	0.0008%	10988	0.00142%	17261
u-gluk-0	35362	0.0046%	10940	0.00141%	46302
p-inr-vt	55034	0.0071%	10912	0.00141%	65946
u-pneuag	630	0.0001%	10822	0.00140%	11452
u-prot-fr	646	0.0001%	10777	0.00139%	11423
li-hsvnho	1257	0.0002%	10771	0.00139%	12028
u-baktalv	952	0.0001%	10771	0.00139%	11723
p-tt	1225925	0.1582%	10764	0.00139%	1236689
ab-het-ion	2155	0.0003%	10738	0.00139%	12893
sprv-laus	1165	0.0002%	10737	0.00139%	11902
mrsa-sevi	130	0.0000%	10692	0.00138%	10822
b-tnt-vt	1279	0.0002%	10669	0.00138%	11948
b-qr-crp	8147	0.0011%	10641	0.00137%	18788
hoicrp	10050	0.0013%	10631	0.00137%	20681
crppika	9076	0.0012%	10628	0.00137%	19704
s-p�lyer	21726	0.0028%	10590	0.00137%	32316
f-hhb	1186	0.0002%	10559	0.00136%	11745
-strvi	2062	0.0003%	10534	0.00136%	12596
f-elast1	33771	0.0044%	10531	0.00136%	44302
s-parvab	1092	0.0001%	10506	0.00136%	11598
p-kardabg	14206	0.0018%	10414	0.00134%	24620
u-suht-hy	25723	0.0033%	10396	0.00134%	36119
rsvanho	150	0.0000%	10393	0.00134%	10543
u-immfix	363	0.0000%	10378	0.00134%	10741
p-aptt	461142	0.0595%	10294	0.00133%	471436
p-gluk,tk	7165	0.0009%	10292	0.00133%	17457
rsvbnho	253	0.0000%	10290	0.00133%	10543
bm-kromos	1662	0.0002%	10221	0.00132%	11883
u-nitro-0	1242	0.0002%	10170	0.00131%	11412
s-hcvnho	3452	0.0004%	10160	0.00131%	13612
ts-pad-pnb	1808	0.0002%	10138	0.00131%	11946
u-alb-0	1277	0.0002%	10138	0.00131%	11415
vb-ahco3	107002	0.0138%	10031	0.00129%	117033
p-laaptct	4717	0.0006%	9942	0.00128%	14659
oma-u-tutk,u-gluk	182	0.0000%	9886	0.00128%	10068
vb-po2	357641	0.0462%	9885	0.00128%	367526
oma-u-tutk,u-leuk	181	0.0000%	9879	0.00127%	10060
oma-u-tutk,u-nitr	179	0.0000%	9860	0.00127%	10039
oma-u-tutk,u-alb	179	0.0000%	9804	0.00127%	9983
uv-vekaas	134	0.0000%	9802	0.00126%	9936
li-vzvnho	1253	0.0002%	9799	0.00126%	11052
lr-pad	1607	0.0002%	9797	0.00126%	11404
oma-u-tutk,u-eryt	178	0.0000%	9796	0.00126%	9974
s-plab	1364	0.0002%	9795	0.00126%	11159
-dnaex	744	0.0001%	9791	0.00126%	10535
mrsaneni	104	0.0000%	9791	0.00126%	9895
mrsaperin	101	0.0000%	9789	0.00126%	9890
du-prot	57799	0.0075%	9723	0.00125%	67522
s-maapähe	17732	0.0023%	9707	0.00125%	27439
u-ph-hy	28216	0.0036%	9697	0.00125%	37913
s-klotsa	89841	0.0116%	9693	0.00125%	99534
ps-stra-ag	416	0.0001%	9622	0.00124%	10038
oma-crp-pika	1011	0.0001%	9610	0.00124%	10621
p-larvvct	4717	0.0006%	9597	0.00124%	14314
u-eryt-0	2217	0.0003%	9591	0.00124%	11808
cu-alb-mi	31593	0.0041%	9579	0.00124%	41172
u-alb/krea	11251	0.0015%	9562	0.00123%	20813
s-hevab	1386	0.0002%	9558	0.00123%	10944
s-ast	12594	0.0016%	9547	0.00123%	22141
s-paras	11303	0.0015%	9512	0.00123%	20815
ts-pad-5	3317	0.0004%	9441	0.00122%	12758
s-hsv2abg	2813	0.0004%	9424	0.00122%	12237
e-retik	471728	0.0609%	9346	0.00121%	481074
vb-hetiogl	647	0.0001%	9304	0.00120%	9951
-mrsavine	116	0.0000%	9297	0.00120%	9413
-mrsavini	124	0.0000%	9295	0.00120%	9419
s-dnaab	6714	0.0009%	9252	0.00119%	15966
s-van	93359	0.0120%	9250	0.00119%	102609
s-c-ancif	2207	0.0003%	9240	0.00119%	11447
s-leuabpr	1539	0.0002%	9223	0.00119%	10762
p-crppika	12788	0.0017%	9186	0.00119%	21974
u-mdma-o	12149	0.0016%	9182	0.00118%	21331
b-kromos	1062	0.0001%	9170	0.00118%	10232
us-tsh	121566	0.0157%	9167	0.00118%	130733
du-immfix	2409	0.0003%	9135	0.00118%	11544
u-bendict	2135	0.0003%	9105	0.00118%	11240
p-gluk-vt	16738	0.0022%	9083	0.00117%	25821
b-ghba1cp	1713	0.0002%	9050	0.00117%	10763
s-psa-v/t	62369	0.0080%	9026	0.00116%	71395
happi	271	0.0000%	9014	0.00116%	9285
u-leuk-0	17918	0.0023%	9010	0.00116%	26928
s-ruok5er	15966	0.0021%	8996	0.00116%	24962
sienvi	483	0.0001%	8987	0.00116%	9470
p-lupusak	341	0.0000%	8982	0.00116%	9323
s-leu-eo	1174	0.0002%	8937	0.00115%	10111
ts-pad-4tu	3219	0.0004%	8901	0.00115%	12120
s-parvabm	1117	0.0001%	8877	0.00115%	9994
s-b2gpabg	1033	0.0001%	8875	0.00115%	9908
s-dgpab	847	0.0001%	8832	0.00114%	9679
p-tntpika	1166	0.0002%	8780	0.00113%	9946
s-inflipa	1427	0.0002%	8770	0.00113%	10197
f-cldivit	365	0.0000%	8768	0.00113%	9133
e-fenoty	1115	0.0001%	8685	0.00112%	9800
f-adenag	413	0.0001%	8671	0.00112%	9084
fp-pi	495001	0.0639%	8650	0.00112%	503651
b-tntp	179	0.0000%	8641	0.00112%	8820
f-rotaag	441	0.0001%	8610	0.00111%	9051
igehevonen	2601	0.0003%	8595	0.00111%	11196
s-bopeabm	3312	0.0004%	8546	0.00110%	11858
s-etoh	9920	0.0013%	8545	0.00110%	18465
u-lepnag	934	0.0001%	8493	0.00110%	9427
u-leuk-bv	246301	0.0318%	8489	0.00110%	254790
u-buprect	1575	0.0002%	8468	0.00109%	10043
s-puumpik	1303	0.0002%	8453	0.00109%	9756
p-tpoab	12563	0.0016%	8450	0.00109%	21013
-hsvag	152	0.0000%	8394	0.00108%	8546
pf-un�k�-o	2535	0.0003%	8377	0.00108%	10912
ps-stragho	2589	0.0003%	8339	0.00108%	10928
fp-urea	328791	0.0424%	8335	0.00108%	337126
-rvirag	311	0.0000%	8328	0.00107%	8639
cb-bil	15534	0.0020%	8289	0.00107%	23823
crpvastaanotolla	5681	0.0007%	8289	0.00107%	13970
f-saponho	106	0.0000%	8279	0.00107%	8385
s-pemfiab	5204	0.0007%	8273	0.00107%	13477
vb-vklaaja	6662	0.0009%	8246	0.00106%	14908
b-ph	221293	0.0286%	8238	0.00106%	229531
s-iglcl-v	102413	0.0132%	8197	0.00106%	110610
p-omagluk	876	0.0001%	8186	0.00106%	9062
cb-ahco3	69540	0.0090%	8175	0.00105%	77715
s-chpnaba	14291	0.0018%	8149	0.00105%	22440
s-afp	58419	0.0075%	8139	0.00105%	66558
s-k/l-s-v	99147	0.0128%	8093	0.00104%	107240
b-mksyn	1073	0.0001%	8087	0.00104%	9160
p-lupusak.	4495	0.0006%	8081	0.00104%	12576
s-kelisu	1990	0.0003%	8045	0.00104%	10035
ly-t-cd4	8186	0.0011%	8044	0.00104%	16230
oma-ghb-a1c	2373	0.0003%	8026	0.00104%	10399
s-t4-v	949693	0.1226%	8008	0.00103%	957701
-pncanho	844	0.0001%	7976	0.00103%	8820
s-soijae	6801	0.0009%	7966	0.00103%	14767
s-hevabm	1372	0.0002%	7955	0.00103%	9327
b-pco2	186123	0.0240%	7928	0.00102%	194051
p-gluk-o	39903	0.0051%	7914	0.00102%	47817
s-bopeabg	8594	0.0011%	7906	0.00102%	16500
u-solu	3194	0.0004%	7904	0.00102%	11098
cb-ca-i7.4	45898	0.0059%	7890	0.00102%	53788
p-trombai	86137	0.0111%	7886	0.00102%	94023
b-po2	186351	0.0240%	7876	0.00102%	194227
s-hephiv	1010	0.0001%	7853	0.00101%	8863
s-hevabg	1499	0.0002%	7846	0.00101%	9345
-dermnho	454	0.0001%	7811	0.00101%	8265
b-dnamut	129	0.0000%	7807	0.00101%	7936
pt-lisäsyt	182	0.0000%	7790	0.00101%	7972
f-enve-o	773	0.0001%	7774	0.00100%	8547
-inabrsnho	100	0.0000%	7766	0.00100%	7866
s-d-25	945906	0.1221%	7765	0.00100%	953671
s-bio	1360	0.0002%	7760	0.00100%	9120
br-pad-4	620	0.0001%	7752	0.00100%	8372
p-fidd-o	42329	0.0055%	7710	0.00099%	50039
bm-molbiol	306	0.0000%	7703	0.00099%	8009
b-hba1c,t	730	0.0001%	7672	0.00099%	8402
p-uraat	735087	0.0949%	7643	0.00099%	742730
-sienna	248	0.0000%	7637	0.00099%	7885
resvirnho	3045	0.0004%	7632	0.00098%	10677
p-ld	529175	0.0683%	7622	0.00098%	536797
np-pkorsi	270	0.0000%	7580	0.00098%	7850
s-kardabm	1630	0.0002%	7526	0.00097%	9156
s-havtot	3710	0.0005%	7520	0.00097%	11230
l-lymf	784758	0.1013%	7506	0.00097%	792264
s-rnp70-ab	244	0.0000%	7505	0.00097%	7749
b-crp	23901	0.0031%	7478	0.00097%	31379
s-p-ancif	4109	0.0005%	7406	0.00096%	11515
hba1cvieri	2724	0.0004%	7344	0.00095%	10068
igekissa	4306	0.0006%	7310	0.00094%	11616
s-anaab	2414	0.0003%	7284	0.00094%	9698
p-vuotot	680	0.0001%	7281	0.00094%	7961
u-na	32497	0.0042%	7276	0.00094%	39773
(pikacrp)	4897	0.0006%	7258	0.00094%	12155
-vzvnho	1226	0.0002%	7258	0.00094%	8484
zb-ph	19946	0.0026%	7228	0.00093%	27174
zb-hbo2sat	20472	0.0026%	7217	0.00093%	27689
zb-pco2	20023	0.0026%	7215	0.00093%	27238
zb-o2-vol%	20435	0.0026%	7207	0.00093%	27642
zb-po2	20063	0.0026%	7207	0.00093%	27270
zb-ahco3	19719	0.0025%	7199	0.00093%	26918
-virvi	124	0.0000%	7159	0.00092%	7283
inr/hoito	1847	0.0002%	7148	0.00092%	8995
cb-hco3-st	266753	0.0344%	7145	0.00092%	273898
p-psaleik	490	0.0001%	7127	0.00092%	7617
pt-konsulp	161	0.0000%	7127	0.00092%	7288
s-cenp-ab	651	0.0001%	7098	0.00092%	7749
s-kardabg	1497	0.0002%	7071	0.00091%	8568
l-neut(a)	1234313	0.1593%	7068	0.00091%	1241381
l-mono(a)	1233876	0.1592%	7068	0.00091%	1240944
oma-hb	19406	0.0025%	7061	0.00091%	26467
p-lipidit	3789	0.0005%	7056	0.00091%	10845
pt-rr-pa	443	0.0001%	7051	0.00091%	7494
ln-padsent	542	0.0001%	7000	0.00090%	7542
l-lymf(a)	1234319	0.1593%	6984	0.00090%	1241303
b-cya	62628	0.0081%	6979	0.00090%	69607
-esblvi	1112	0.0001%	6942	0.00090%	8054
s-virab	138	0.0000%	6904	0.00089%	7042
s-ssa-60	899	0.0001%	6899	0.00089%	7798
s-frtuab	846	0.0001%	6897	0.00089%	7743
pikahb	18595	0.0024%	6888	0.00089%	25483
hhpvnho	1798	0.0002%	6880	0.00089%	8678
s-asta	2042	0.0003%	6841	0.00088%	8883
ps-rsvag	477	0.0001%	6796	0.00088%	7273
u-manip	164	0.0000%	6787	0.00088%	6951
s-ihovab	1432	0.0002%	6784	0.00088%	8216
s-ihotab	1946	0.0003%	6766	0.00087%	8712
s-ssa-52	1109	0.0001%	6727	0.00087%	7836
oma-u-tutk,u-leuk-o	514	0.0001%	6697	0.00086%	7211
oma-u-tutk,u-nitr-o	510	0.0001%	6691	0.00086%	7201
oma-u-tutk,u-alb-o	445	0.0001%	6683	0.00086%	7128
s-leukabo	2527	0.0003%	6678	0.00086%	9205
p-urea	374887	0.0484%	6666	0.00086%	381553
as-diffi	1148	0.0001%	6664	0.00086%	7812
s-prlmakr	109	0.0000%	6659	0.00086%	6768
oma-u-tutk,u-gluk-o	492	0.0001%	6658	0.00086%	7150
oma-u-tutk,u-keto-o	478	0.0001%	6658	0.00086%	7136
p-hco3	438915	0.0566%	6643	0.00086%	445558
igekoira	4464	0.0006%	6642	0.00086%	11106
oma-u-tutk,u-eryt-o	498	0.0001%	6636	0.00086%	7134
s-sentbab	3265	0.0004%	6623	0.00085%	9888
s-hbvnh	1905	0.0002%	6622	0.00085%	8527
sprv-lelau	1421	0.0002%	6622	0.00085%	8043
ts-pad-ish	867	0.0001%	6587	0.00085%	7454
b-vervi2	158	0.0000%	6586	0.00085%	6744
ln-pad	1467	0.0002%	6585	0.00085%	8052
pt-spiromd	1710	0.0002%	6578	0.00085%	8288
s-vehnjae	8863	0.0011%	6565	0.00085%	15428
u-ph-o	344056	0.0444%	6564	0.00085%	350620
b-tnt-hy	1252	0.0002%	6557	0.00085%	7809
gi-pad-4	272	0.0000%	6525	0.00084%	6797
s-tbeab	959	0.0001%	6514	0.00084%	7473
s-yersab	778	0.0001%	6473	0.00084%	7251
näytt.otto	24359	0.0031%	6430	0.00083%	30789
b-pvk+t+r	118	0.0000%	6404	0.00083%	6522
mm-hygvi	1278	0.0002%	6393	0.00083%	7671
fs-folaat	269134	0.0347%	6381	0.00082%	275515
oma-ghb-a1	982	0.0001%	6350	0.00082%	7332
u-kemseu,ph	182	0.0000%	6317	0.00082%	6499
vb-vkperus	11583	0.0015%	6311	0.00081%	17894
igekoivu	4398	0.0006%	6306	0.00081%	10704
bl-bal-1	709	0.0001%	6306	0.00081%	7015
s-e2	32095	0.0041%	6304	0.00081%	38399
s-hcg-b-v	54298	0.0070%	6229	0.00080%	60527
b-diffim	457	0.0001%	6222	0.00080%	6679
s-ca(7.4)	338307	0.0437%	6221	0.00080%	344528
s-tbeabm	1143	0.0001%	6209	0.00080%	7352
u-stpnag	1464	0.0002%	6202	0.00080%	7666
ua-ph	44205	0.0057%	6196	0.00080%	50401
-hsvvi	766	0.0001%	6171	0.00080%	6937
s-hsv1abg	6238	0.0008%	6170	0.00080%	12408
s-pct	24082	0.0031%	6167	0.00080%	30249
f-cldivi	200	0.0000%	6147	0.00079%	6347
fp-crp	3661	0.0005%	6129	0.00079%	9790
s-ena	3032	0.0004%	6112	0.00079%	9144
s-ihoab	678	0.0001%	6094	0.00079%	6772
li-mypnabg	166	0.0000%	6090	0.00079%	6256
p-la2-mix	212	0.0000%	6086	0.00079%	6298
p-lam/m	212	0.0000%	6086	0.00079%	6298
s-rrnpabb	2349	0.0003%	6080	0.00078%	8429
s-sentabb	2349	0.0003%	6080	0.00078%	8429
s-ssbabbl	2387	0.0003%	6068	0.00078%	8455
s-rnpabbl	2352	0.0003%	6068	0.00078%	8420
s-ssaabbl	2349	0.0003%	6068	0.00078%	8417
s-jo1abbl	2349	0.0003%	6067	0.00078%	8416
p-fs-mix	236	0.0000%	6056	0.00078%	6292
p-apttm/m	236	0.0000%	6056	0.00078%	6292
s-adaliab	1746	0.0002%	6042	0.00078%	7788
cp-inr-hy	17006	0.0022%	6031	0.00078%	23037
s-hisabbl	2351	0.0003%	6023	0.00078%	8374
s-smabbl	2387	0.0003%	6022	0.00078%	8409
s-scl70bl	2387	0.0003%	6017	0.00078%	8404
-borrnho	443	0.0001%	6009	0.00078%	6452
s-tshrefl	41981	0.0054%	5994	0.00077%	47975
u-sg	12295	0.0016%	5983	0.00077%	18278
u-kivi	735	0.0001%	5954	0.00077%	6689
pt-iho-r3	758	0.0001%	5947	0.00077%	6705
s-b12-vit	336011	0.0434%	5920	0.00076%	341931
p-la1-mix	421	0.0001%	5888	0.00076%	6309
p-ck-mbm	332766	0.0429%	5877	0.00076%	338643
e-coomc3d	2537	0.0003%	5854	0.00076%	8391
s-ph(akt)	311482	0.0402%	5847	0.00075%	317329
b-vervi1	180	0.0000%	5805	0.00075%	5985
li-l/liusk	675	0.0001%	5800	0.00075%	6475
s-campab	774	0.0001%	5799	0.00075%	6573
li-l/yksit	675	0.0001%	5799	0.00075%	6474
cp-inr-vt	15510	0.0020%	5746	0.00074%	21256
s-ca(akt)	311240	0.0402%	5717	0.00074%	316957
ca-baktvi	466	0.0001%	5696	0.00074%	6162
ns-staurvi	286	0.0000%	5695	0.00073%	5981
-inbnhoho	588	0.0001%	5692	0.00073%	6280
b-hba1c/pika	2801	0.0004%	5685	0.00073%	8486
cb-hb	28969	0.0037%	5681	0.00073%	34650
p-fsl-mix	637	0.0001%	5674	0.00073%	6311
s-rarah2e	9823	0.0013%	5669	0.00073%	15492
vb-ca-ion	18591	0.0024%	5668	0.00073%	24259
as-solut	3563	0.0005%	5662	0.00073%	9225
s-chlacf	232	0.0000%	5649	0.00073%	5881
b-tb1	3396	0.0004%	5643	0.00073%	9039
b-tromb	662459	0.0855%	5641	0.00073%	668100
fp-nh4-ion	97346	0.0126%	5641	0.00073%	102987
b-tb2	3396	0.0004%	5641	0.00073%	9037
b-crp-v	9881	0.0013%	5606	0.00072%	15487
bm-aspir	143	0.0000%	5600	0.00072%	5743
s-kelila	243	0.0000%	5590	0.00072%	5833
li-vzvabg	498	0.0001%	5532	0.00071%	6030
s-cv19ab	976	0.0001%	5527	0.00071%	6503
strbvieri	230	0.0000%	5522	0.00071%	5752
b-plas-o	483	0.0001%	5472	0.00071%	5955
e-coomigg	2988	0.0004%	5414	0.00070%	8402
ts-pad-1tk	442	0.0001%	5405	0.00070%	5847
ki-pad	757	0.0001%	5395	0.00070%	6152
li-ace	4366	0.0006%	5389	0.00070%	9755
u-osmoest	106913	0.0138%	5372	0.00069%	112285
s-achr-ab	2605	0.0003%	5363	0.00069%	7968
u-nitr-o*	1949	0.0003%	5363	0.00069%	7312
-hcgbsuh	1736	0.0002%	5362	0.00069%	7098
-gcvi	537	0.0001%	5308	0.00069%	5845
p-fsl/fs	1013	0.0001%	5307	0.00068%	6320
p-fs	1012	0.0001%	5306	0.00068%	6318
-cv19nho*	7136	0.0009%	5280	0.00068%	12416
sy-eryt	19191	0.0025%	5273	0.00068%	24464
s-parvabg	5013	0.0006%	5269	0.00068%	10282
phadiatop	3591	0.0005%	5257	0.00068%	8848
b-vrabgrs	768	0.0001%	5250	0.00068%	6018
p-bkvnh	1771	0.0002%	5247	0.00068%	7018
ts-kiire	1649	0.0002%	5240	0.00068%	6889
-cmvnh	1036	0.0001%	5238	0.00068%	6274
neutrofiilit	14359	0.0019%	5234	0.00068%	19593
b-tacro	60655	0.0078%	5214	0.00067%	65869
s-aspeag	628	0.0001%	5205	0.00067%	5833
pt-obd-1	760	0.0001%	5192	0.00067%	5952
li-cxcl13	2067	0.0003%	5187	0.00067%	7254
p-hcvnho	247	0.0000%	5180	0.00067%	5427
li-evirnho	199	0.0000%	5180	0.00067%	5379
pt-vainaja	1201	0.0002%	5177	0.00067%	6378
du-ca	37156	0.0048%	5169	0.00067%	42325
s-iglck-v	105544	0.0136%	5156	0.00067%	110700
-crp-pika	4178	0.0005%	5134	0.00066%	9312
s-salmab	736	0.0001%	5133	0.00066%	5869
p-glukhoi	4997	0.0006%	5114	0.00066%	10111
s-rarah9e	3014	0.0004%	5112	0.00066%	8126
fl-clue	283	0.0000%	5074	0.00065%	5357
du-metnor	226	0.0000%	5068	0.00065%	5294
ts-her2ish	773	0.0001%	5064	0.00065%	5837
e-coombp	499	0.0001%	5050	0.00065%	5549
s-lh	60649	0.0078%	5047	0.00065%	65696
li-blastit	619	0.0001%	5046	0.00065%	5665
oma-gluk	30157	0.0039%	5045	0.00065%	35202
s-rarah3e	3494	0.0005%	5031	0.00065%	8525
-inanhoho	1270	0.0002%	5030	0.00065%	6300
b-tni-vt	2894	0.0004%	4987	0.00064%	7881
li-mononuk	818	0.0001%	4982	0.00064%	5800
s-mkomp-1	71466	0.0092%	4964	0.00064%	76430
pt-no-ex	2059	0.0003%	4961	0.00064%	7020
p-crp-oma	15999	0.0021%	4939	0.00064%	20938
b-nil	3376	0.0004%	4937	0.00064%	8313
u-hyalie	190761	0.0246%	4935	0.00064%	195696
s-rnp70ab	2443	0.0003%	4909	0.00063%	7352
s-ige	149759	0.0193%	4906	0.00063%	154665
-zoonnho	3423	0.0004%	4901	0.00063%	8324
np-päivinf	1098	0.0001%	4897	0.00063%	5995
s-vlseabg	9560	0.0012%	4892	0.00063%	14452
u-cannact	1093	0.0001%	4865	0.00063%	5958
e-abotark	111	0.0000%	4857	0.00063%	4968
s-igg	86682	0.0112%	4853	0.00063%	91535
